date,daily_mtm_per_lot,slippage,Portdolio
,,,"? 10,00,000.00"
01-01-2015,1023.75,-300,"? 10,00,723.75"
02-01-2015,2587.5,-300,"? 10,03,011.25"
05-01-2015,-191.25,-300,"? 10,02,520.00"
06-01-2015,6123.75,-300,"? 10,08,343.75"
07-01-2015,-975,-300,"? 10,07,068.75"
08-01-2015,2561.25,-300,"? 10,09,330.00"
09-01-2015,-183.75,-300,"? 10,08,846.25"
12-01-2015,-1455,-300,"? 10,07,091.25"
13-01-2015,-525,-300,"? 10,06,266.25"
14-01-2015,727.5,-300,"? 10,06,693.75"
15-01-2015,3213.75,-300,"? 10,09,607.50"
16-01-2015,1822.5,-300,"? 10,11,130.00"
19-01-2015,-4421.25,-300,"? 10,06,408.75"
20-01-2015,7098.75,-300,"? 10,13,207.50"
21-01-2015,-1665,-300,"? 10,11,242.50"
22-01-2015,-3176.25,-300,"? 10,07,766.25"
23-01-2015,427.5,-300,"? 10,07,893.75"
27-01-2015,633.75,-300,"? 10,08,227.50"
28-01-2015,-3540,-300,"? 10,04,387.50"
29-01-2015,5130,-300,"? 10,09,217.50"
30-01-2015,7815,-300,"? 10,16,732.50"
02-02-2015,-1938.75,-300,"? 10,14,493.75"
03-02-2015,4518.75,-300,"? 10,18,712.50"
04-02-2015,2055,-300,"? 10,20,467.50"
05-02-2015,-2433.75,-300,"? 10,17,733.75"
06-02-2015,2291.25,-300,"? 10,19,725.00"
09-02-2015,2565,-300,"? 10,21,990.00"
10-02-2015,-14561.25,-300,"? 10,07,128.75"
11-02-2015,1275,-300,"? 10,08,103.75"
12-02-2015,555,-300,"? 10,08,358.75"
13-02-2015,2891.25,-300,"? 10,10,950.00"
16-02-2015,-1091.25,-300,"? 10,09,558.75"
18-02-2015,956.25,-300,"? 10,10,215.00"
19-02-2015,-1207.5,-300,"? 10,08,707.50"
20-02-2015,0,-300,"? 10,08,407.50"
23-02-2015,7665,-300,"? 10,15,772.50"
24-02-2015,-5295,-300,"? 10,10,177.50"
25-02-2015,3090,-300,"? 10,12,967.50"
26-02-2015,4241.25,-300,"? 10,16,908.75"
27-02-2015,6277.5,-300,"? 10,22,886.25"
